bacia,sub_bacia,lon,lat
Grande,Agua Vermelha,"-50.2","-20.2"
Grande,Agua Vermelha,"-50.2","-19.8"
Grande,Agua Vermelha,"-49.8","-20.2"
Grande,Agua Vermelha,"-49.8","-19.8"
Grande,Agua Vermelha,"-49.4","-20.6"
Grande,Agua Vermelha,"-49.4","-20.2"
Grande,Agua Vermelha,"-49.4","-19.8"
Grande,Agua Vermelha,-49,-21
Grande,Agua Vermelha,-49,"-20.6"
Grande,Agua Vermelha,-49,"-19.8"
Grande,Agua Vermelha,"-48.6",-21
Grande,Camargos,"-44.6","-22.2"
Grande,Camargos,"-44.6","-21.8"
Grande,Camargos,"-44.6","-21.4"
Grande,Camargos,"-44.2","-21.8"
Grande,Camargos,"-44.2","-21.4"
Grande,Cap escuro,"-47.8","-20.6"
Grande,Cap escuro,"-47.4",-21
Grande,Cap escuro,"-47.4","-20.6"
Grande,Cap escuro,-47,-21
Grande,Edacunha,"-46.6","-21.8"
Grande,Funil MG,-45,-21
Grande,Funil MG,"-44.6",-21
Grande,Funil MG,"-44.2",-21
Grande,Funil MG,"-43.8","-21.4"
Grande,Funil MG,"-43.8",-21
Grande,Furnas,"-46.6","-21.4"
Grande,Furnas,"-46.2","-21.8"
Grande,Furnas,"-46.2","-21.4"
Grande,Furnas,"-46.2",-21
Grande,Furnas,"-46.2","-20.6"
Grande,Furnas,"-45.8","-21.4"
Grande,Furnas,"-45.8",-21
Grande,Furnas,"-45.8","-20.6"
Grande,Furnas,"-45.4","-21.4"
Grande,Furnas,"-45.4",-21
Grande,Furnas,"-45.4","-20.6"
Grande,Furnas,-45,"-21.4"
Grande,Marimbondo,-49,"-20.2"
Grande,Marimbondo,"-48.6","-20.6"
Grande,Marimbondo,"-48.6","-20.2"
Grande,Marimbondo,"-48.6","-19.8"
Grande,Marimbondo,"-48.2",-21
Grande,Marimbondo,"-48.2","-20.6"
Grande,Marimbondo,"-47.8",-21
Grande,Marimbondo,"-47.4","-21.4"
Grande,Marimbondo,-47,"-21.8"
Grande,Marimbondo,-47,"-21.4"
Grande,Paraguaçu,"-46.2","-22.2"
Grande,Paraguaçu,"-45.8","-22.6"
Grande,Paraguaçu,"-45.8","-22.2"
Grande,Paraguaçu,"-45.8","-21.8"
Grande,Paraguaçu,"-45.4","-22.6"
Grande,Passagem,"-48.2","-21.4"
Grande,Passagem,"-47.8","-21.8"
Grande,Passagem,"-47.8","-21.4"
Grande,Passagem,"-47.4","-22.2"
Grande,Passagem,"-47.4","-21.8"
Grande,Passagem,-47,"-22.2"
Grande,Passagem,"-46.6","-22.6"
Grande,Passagem,"-46.6","-22.2"
Grande,Passagem,"-46.2","-22.6"
Grande,Porto Bueno,"-45.4","-22.2"
Grande,Porto Bueno,"-45.4","-21.8"
Grande,Porto Bueno,-45,"-22.2"
Grande,Porto Bueno,-45,"-21.8"
Grande,Porto Colombia,"-48.2","-20.2"
Grande,Porto Colombia,"-48.2","-19.8"
Grande,Porto Colombia,"-47.8","-20.2"
Grande,Porto Colombia,"-47.8","-19.8"
Grande,Porto Colombia,"-47.4","-20.2"
Grande,Porto Colombia,"-47.4","-19.8"
Grande,Porto Colombia,-47,"-20.6"
Grande,Porto Colombia,-47,"-20.2"
Grande,Porto Colombia,"-46.6",-21
Grande,Porto Colombia,"-46.6","-20.6"
